Student ID,Last Name,First Name,Grade
100001,Thompson,Ava,TK
100002,Rodriguez,Liam,TK
100003,Nguyen,Sophia,K
100004,Patel,Noah,K
100005,Johnson,Mia,K
100006,Garcia,Elijah,1
100007,Martinez,Olivia,1
100008,Kim,Lucas,2
100009,Davis,Emma,2
100010,Lee,Benjamin,3
100011,Brown,Charlotte,3
100012,Wilson,James,4
100013,Clark,Amelia,4
100014,Lewis,Henry,5
100015,Walker,Isabella,5
100016,Hall,Alexander,6
100017,Young,Harper,6
100018,Allen,Michael,7
100019,Scott,Evelyn,7
100020,Torres,Daniel,8
100021,Reed,Abigail,8
